task_id,task_type,complexity,assigned_to,duration_minutes,resolved,user_feedback,previous_attempts,urgency,automation_possible,efficiency_index
1,Billing,2,Human,20,Yes,3,2,Low,Yes,0.15
2,HR,5,AI,58,Yes,4,0,High,No,0.069
3,Customer Support,4,Human,23,Yes,1,0,Medium,No,0.043
4,Technical,5,AI,17,Yes,5,1,Low,No,0.294
5,Customer Support,3,AI,19,Yes,4,2,Medium,No,0.211
6,Customer Support,5,Human,13,Yes,4,2,High,No,0.308
7,Billing,3,Human,34,Yes,2,0,Medium,No,0.059
8,Technical,5,Human,24,Yes,2,0,Medium,No,0.083
9,Billing,1,AI,59,Yes,5,2,Medium,No,0.085
10,Billing,4,Human,21,Yes,1,1,Medium,No,0.048
11,Technical,5,Human,50,Yes,5,0,Low,No,0.1
12,HR,3,Human,15,No,4,1,Medium,No,0.267
13,Customer Support,1,Human,31,Yes,4,1,High,No,0.129
14,Customer Support,1,Human,5,No,4,2,High,Yes,0.8
15,Billing,3,AI,26,Yes,1,0,High,No,0.038
16,Billing,4,Human,32,Yes,2,1,High,No,0.062
17,Billing,4,AI,9,No,4,0,High,No,0.444
18,Technical,3,Human,56,Yes,5,0,Low,No,0.089
19,HR,3,AI,13,Yes,3,1,High,No,0.231
20,Customer Support,1,Human,35,Yes,1,0,Low,No,0.029
21,Customer Support,2,Human,21,Yes,1,3,Medium,No,0.048
22,Technical,2,Human,10,Yes,2,3,Low,Yes,0.2
23,HR,2,Human,17,Yes,2,0,Low,Yes,0.118
24,Billing,2,Human,48,Yes,1,2,Low,No,0.021
25,Technical,2,AI,37,Yes,3,0,High,No,0.081
26,Technical,3,AI,28,Yes,4,3,High,No,0.143
27,HR,5,AI,37,Yes,4,2,Low,No,0.108
28,HR,1,Human,7,Yes,5,2,Low,Yes,0.714
29,Billing,2,Human,26,Yes,2,1,Medium,No,0.077
30,Customer Support,3,Human,36,Yes,5,1,Medium,No,0.139
31,Billing,4,AI,55,Yes,2,2,Low,No,0.036
32,Technical,1,AI,41,Yes,2,3,Low,No,0.049
33,Billing,5,AI,57,Yes,1,3,Medium,No,0.018
34,HR,2,Human,40,Yes,3,0,Medium,No,0.075
35,Customer Support,1,Human,31,Yes,4,0,High,No,0.129
