task_id,task_type,complexity,assigned_to,duration_minutes,resolved,user_feedback,previous_attempts,urgency,automation_possible,efficiency_index,urgency_encoded,complexity_score
1,Billing,2,Human,20,Yes,3,2,Low,Yes,0.15,1,1.4000000000000001
2,HR,5,AI,58,Yes,4,0,High,No,0.069,3,2.59
3,Customer Support,4,Human,23,Yes,1,0,Medium,No,0.043,2,1.915
4,Technical,5,AI,17,Yes,5,1,Low,No,0.294,1,2.3850000000000002
5,Customer Support,3,AI,19,Yes,4,2,Medium,No,0.211,2,1.8950000000000002
6,Customer Support,5,Human,13,Yes,4,2,High,No,0.308,3,2.7649999999999997
7,Billing,3,Human,34,Yes,2,0,Medium,No,0.059,2,1.57
8,Technical,5,Human,24,Yes,2,0,Medium,No,0.083,2,2.3200000000000003
9,Billing,1,AI,59,Yes,5,2,Medium,No,0.085,2,1.2950000000000002
10,Billing,4,Human,21,Yes,1,1,Medium,No,0.048,2,2.105
11,Technical,5,Human,50,Yes,5,0,Low,No,0.1,1,2.35
12,HR,3,Human,15,No,4,1,Medium,No,0.267,2,1.675
13,Customer Support,1,Human,31,Yes,4,1,High,No,0.129,3,1.0550000000000002
14,Customer Support,1,Human,5,No,4,2,High,Yes,0.8,3,1.125
15,Billing,3,AI,26,Yes,1,0,High,No,0.038,3,1.6300000000000001
16,Billing,4,Human,32,Yes,2,1,High,No,0.062,3,2.26
17,Billing,4,AI,9,No,4,0,High,No,0.444,3,1.945
18,Technical,3,Human,56,Yes,5,0,Low,No,0.089,1,1.5800000000000003
19,HR,3,AI,13,Yes,3,1,High,No,0.231,3,1.7650000000000001
20,Customer Support,1,Human,35,Yes,1,0,Low,No,0.029,1,0.675
21,Customer Support,2,Human,21,Yes,1,3,Medium,No,0.048,2,1.705
22,Technical,2,Human,10,Yes,2,3,Low,Yes,0.2,1,1.5500000000000003
23,HR,2,Human,17,Yes,2,0,Low,Yes,0.118,1,0.985
24,Billing,2,Human,48,Yes,1,2,Low,No,0.021,1,1.54
25,Technical,2,AI,37,Yes,3,0,High,No,0.081,3,1.2850000000000001
26,Technical,3,AI,28,Yes,4,3,High,No,0.143,3,2.24
27,HR,5,AI,37,Yes,4,2,Low,No,0.108,1,2.685
28,HR,1,Human,7,Yes,5,2,Low,Yes,0.714,1,0.9349999999999999
29,Billing,2,Human,26,Yes,2,1,Medium,No,0.077,2,1.33
30,Customer Support,3,Human,36,Yes,5,1,Medium,No,0.139,2,1.78
31,Billing,4,AI,55,Yes,2,2,Low,No,0.036,1,2.375
32,Technical,1,AI,41,Yes,2,3,Low,No,0.049,1,1.3050000000000002
33,Billing,5,AI,57,Yes,1,3,Medium,No,0.018,2,3.0850000000000004
34,HR,2,Human,40,Yes,3,0,Medium,No,0.075,2,1.2
35,Customer Support,1,Human,31,Yes,4,0,High,No,0.129,3,0.8550000000000001
36,HR,1,AI,24,Yes,5,3,High,No,0.208,3,1.4200000000000002
37,Technical,1,Human,9,Yes,4,1,Low,Yes,0.444,1,0.745
38,Technical,4,AI,41,Yes,2,2,High,No,0.049,3,2.505
39,Technical,5,AI,16,Yes,5,2,Low,No,0.312,1,2.58
40,Customer Support,2,AI,38,Yes,5,1,High,No,0.132,3,1.49
41,HR,5,Human,47,Yes,4,1,High,No,0.085,3,2.7350000000000003
42,Technical,1,Human,26,Yes,3,2,Medium,No,0.115,2,1.1300000000000001
43,HR,2,AI,44,Yes,3,1,Medium,No,0.068,2,1.42
44,HR,3,Human,8,Yes,3,0,High,No,0.375,3,1.5400000000000003
45,Billing,1,Human,40,Yes,5,2,High,No,0.125,3,1.3
46,Customer Support,1,AI,40,Yes,4,2,High,No,0.1,3,1.3
47,Billing,2,Human,26,Yes,1,0,Medium,No,0.038,2,1.1300000000000001
48,Billing,5,Human,49,Yes,4,0,High,No,0.082,3,2.545
49,Technical,5,Human,56,Yes,3,3,Low,No,0.054,1,2.98
50,Customer Support,1,AI,8,Yes,1,1,Low,Yes,0.125,1,0.74
51,Billing,5,AI,53,Yes,4,2,High,No,0.075,3,2.965
52,Customer Support,4,Human,21,Yes,2,2,High,No,0.095,3,2.4050000000000002
53,Technical,2,AI,7,Yes,2,0,Medium,Yes,0.286,2,1.0350000000000001
54,Billing,3,AI,8,Yes,5,2,High,No,0.625,3,1.9400000000000002
55,HR,3,AI,40,Yes,4,3,High,No,0.1,3,2.3
56,Technical,5,AI,9,Yes,2,3,High,No,0.222,3,2.9450000000000003
57,Billing,3,Human,17,Yes,4,3,Medium,No,0.235,2,2.0850000000000004
58,Technical,4,Human,14,Yes,2,1,High,No,0.143,3,2.17
59,Customer Support,2,AI,53,Yes,1,2,Low,No,0.019,1,1.565
60,Technical,2,AI,12,Yes,5,3,Medium,Yes,0.417,2,1.6600000000000001
61,Customer Support,1,AI,12,Yes,3,1,Medium,Yes,0.25,2,0.8600000000000001
62,Billing,4,AI,17,Yes,3,2,Medium,No,0.176,2,2.285
63,Customer Support,5,Human,49,Yes,5,2,Medium,No,0.102,2,2.845
64,Technical,1,Human,58,Yes,4,1,High,No,0.069,3,1.19
65,HR,5,Human,40,No,1,2,Medium,No,0.025,2,2.8000000000000003
66,Billing,4,Human,14,Yes,5,3,Medium,No,0.357,2,2.4700000000000006
67,HR,5,Human,57,Yes,3,3,Medium,No,0.053,2,3.0850000000000004
68,HR,2,AI,44,Yes,2,0,High,No,0.045,3,1.32
69,Billing,3,Human,58,Yes,2,1,Low,No,0.034,1,1.7900000000000003
70,HR,2,AI,23,No,2,3,Medium,No,0.087,2,1.715
71,Technical,4,Human,14,Yes,2,1,Medium,No,0.143,2,2.0700000000000003
72,Customer Support,4,Human,51,Yes,3,0,Medium,No,0.059,2,2.055
73,Customer Support,2,AI,48,Yes,1,0,Low,No,0.021,1,1.1400000000000001
74,Customer Support,4,Human,40,Yes,2,2,Medium,No,0.05,2,2.4000000000000004
75,Customer Support,1,AI,7,Yes,3,1,Low,Yes,0.429,1,0.735
76,Technical,2,AI,41,No,2,2,Low,No,0.049,1,1.5050000000000003
77,Customer Support,1,Human,50,Yes,3,1,Low,No,0.06,1,0.9500000000000001
78,Billing,5,Human,11,Yes,4,3,Low,No,0.364,1,2.7550000000000003
79,Customer Support,1,AI,44,Yes,2,0,High,No,0.045,3,0.92
80,HR,4,AI,32,Yes,2,3,High,No,0.062,3,2.66
81,Technical,4,Human,6,No,1,3,Medium,No,0.167,2,2.4300000000000006
82,Customer Support,3,Human,48,Yes,4,1,Medium,No,0.083,2,1.84
83,HR,2,AI,18,Yes,1,2,Low,Yes,0.056,1,1.3900000000000001
84,HR,5,Human,44,Yes,4,3,High,No,0.091,3,3.12
85,Billing,1,Human,7,Yes,5,1,Low,Yes,0.714,1,0.735
86,Customer Support,1,AI,24,Yes,3,3,High,No,0.125,3,1.4200000000000002
87,Technical,1,AI,5,No,1,3,High,Yes,0.2,3,1.3250000000000002
88,HR,1,Human,34,Yes,4,3,High,No,0.118,3,1.4700000000000002
89,HR,2,AI,6,Yes,2,1,High,Yes,0.333,3,1.33
90,Technical,1,AI,28,Yes,5,0,Low,No,0.179,1,0.64
91,Technical,2,AI,34,Yes,2,0,Low,No,0.059,1,1.07
92,Technical,3,AI,57,Yes,3,0,Medium,No,0.053,2,1.685
93,Technical,5,Human,58,Yes,1,2,Medium,No,0.017,2,2.89
94,Technical,5,Human,53,Yes,5,3,Low,No,0.094,1,2.9650000000000003
95,Billing,3,AI,16,Yes,3,0,High,No,0.188,3,1.5800000000000003
96,Technical,3,Human,42,No,2,2,Low,No,0.048,1,1.9100000000000001
97,Customer Support,2,Human,34,Yes,1,1,Medium,No,0.029,2,1.3699999999999999
98,HR,2,AI,22,Yes,1,2,High,No,0.045,3,1.61
99,Customer Support,1,AI,35,Yes,5,0,High,No,0.143,3,0.8750000000000001
